年度,事件名稱,災害類型,縣市,鄉鎮,村里,災害地點,速報連結,災害時間,審查會議日期
111,其他,崩塌,花蓮縣,秀林鄉,富世村,台 8 線 117.4K,https://246.swcb.gov.tw/AllFiles/PDF/04.111其他-花蓮秀林-001(最速報).pdf,20220426,2022-04-29 00:00:00
111,其他,崩塌,臺東縣,太麻里鄉,多良村,台 9 縣 400K+500,https://246.swcb.gov.tw/AllFiles/PDF/03.111其他-台東太麻里-001(最速報).pdf,20220422,2022-04-26 00:00:00
111,其他,崩塌,苗栗縣,頭屋鄉,明德村,苗126線26.1K、苗126線26.2K、苗126線28.5K,https://246.swcb.gov.tw/AllFiles/PDF/02.111其他-苗栗頭屋-001(最速報).pdf,20220328,2022-04-01 00:00:00
111,其他,崩塌,基隆市,信義區,孝忠里,槓子寮路資源回收場,https://246.swcb.gov.tw/AllFiles/PDF/01.111年其他-基隆信義-001(最速報).pdf,20220223,2022-02-25 00:00:00
110,1013豪雨,崩塌,花蓮縣,瑞穗鄉,奇美村,瑞港公路花64線2.3K處,https://246.swcb.gov.tw/AllFiles/PDF/29.1013豪雨-花蓮瑞穗-001(最速報).pdf,20211013,2021-10-15 00:00:00
110,1013豪雨,土石流,花蓮縣,玉里鎮,大禹里,大禹里10~18鄰,https://246.swcb.gov.tw/AllFiles/PDF/32.1013豪雨-花蓮玉里-003(最速報).pdf,20211013,2021-10-15 00:00:00
110,1013豪雨,土石流,花蓮縣,玉里鎮,大禹里,大禹里18鄰,https://246.swcb.gov.tw/AllFiles/PDF/31.1013豪雨-花蓮玉里-002(最速報).pdf,20211013,2021-10-15 00:00:00
110,1013豪雨,崩塌,花蓮縣,玉里鎮,松浦里,松浦里138-1號,https://246.swcb.gov.tw/AllFiles/PDF/30.1013豪雨-花蓮玉里-001(最速報).pdf,20211013,2021-10-15 00:00:00
110,圓規颱風,土石流,臺東縣,大武鄉,大竹村,台9線411K富山橋,https://246.swcb.gov.tw/AllFiles/PDF/28.圓規颱風-臺東大武-001(最速報).pdf,20211012,2021-10-15 00:00:00
110,圓規颱風,"土石流,崩塌",花蓮縣,秀林鄉,銅門村,榕樹部落翡翠谷入口處,https://246.swcb.gov.tw/AllFiles/PDF/27.圓規颱風-花蓮秀林-001(最速報).pdf,20211012,2021-10-15 00:00:00
110,其他,崩塌,新竹縣,尖石鄉,秀巒村,竹60線31K處邊坡,https://246.swcb.gov.tw/AllFiles/PDF/26.110年其他-新竹尖石-001(最速報).pdf,20210913,2021-08-09 00:00:00
110,其他,崩塌,南投縣,集集鎮,富山里,台16線12K處,https://246.swcb.gov.tw/AllFiles/PDF/23.0815其他-南投集集-001(最速報).pdf,20210814,2021-08-06 00:00:00
110,其他,崩塌,高雄市,桃源區,寶山里,小關山林道3.5K,https://246.swcb.gov.tw/AllFiles/PDF/24.0815其他-高雄桃源-001(最速報).pdf,20210811,2021-08-19 00:00:00
